Timestamp,Event,Event Description,Event Severity,network_table:///FMSInfo/EventName,network_table:///FMSInfo/FMSControlData,network_table:///FMSInfo/GameSpecificMessage,network_table:///FMSInfo/IsRedAlliance,network_table:///FMSInfo/MatchNumber,network_table:///FMSInfo/MatchType,network_table:///FMSInfo/ReplayNumber,network_table:///FMSInfo/StationNumber,network_table:///LiveWindow/Ungrouped/Compressor[0]/Enabled,network_table:///LiveWindow/Ungrouped/Compressor[0]/Pressure switch,"network_table:///LiveWindow/Ungrouped/DoubleSolenoid[0,2]/Value",network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[0]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[0]/Speed,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance,network_table:///LiveWindow/Ungrouped/Encoder[1]/Distance per Tick,network_table:///LiveWindow/Ungrouped/Encoder[1]/Speed,network_table:///SmartDashboard/Accelerometer,network_table:///SmartDashboard/Direction,network_table:///SmartDashboard/Drive Mode,network_table:///SmartDashboard/Left EO Encoder Speed RPS,network_table:///SmartDashboard/Left Master Current,network_table:///SmartDashboard/Left NEO Drive speed FPS,network_table:///SmartDashboard/Left NEO Encoder Inches,network_table:///SmartDashboard/Left NEO Encoder Position Ticks,network_table:///SmartDashboard/Left NEO Encoder Speed Inches,network_table:///SmartDashboard/Left Rio Drive speed FPS,network_table:///SmartDashboard/Left Rio Encoder Inches,network_table:///SmartDashboard/Left Rio Encoder Position Ticks,network_table:///SmartDashboard/Left Rio Encoder Speed Inches,network_table:///SmartDashboard/Left Slave 1 Current,network_table:///SmartDashboard/Left Slave 2 Current,network_table:///SmartDashboard/Left Voltage,network_table:///SmartDashboard/Mode,network_table:///SmartDashboard/Neutral Mode,network_table:///SmartDashboard/Right Master Current,network_table:///SmartDashboard/Right NEO Drive speed FPS,network_table:///SmartDashboard/Right NEO Encoder Inches,network_table:///SmartDashboard/Right NEO Encoder Position Ticks,network_table:///SmartDashboard/Right NEO Encoder Speed Inches,network_table:///SmartDashboard/Right NEO Encoder Speed RPS,network_table:///SmartDashboard/Right Rio Drive speed FPS,network_table:///SmartDashboard/Right Rio Encoder Inches,network_table:///SmartDashboard/Right Rio Encoder Position Ticks,network_table:///SmartDashboard/Right Rio Encoder Speed Inches,network_table:///SmartDashboard/Right Rio Encoder Speed RPS,network_table:///SmartDashboard/Right Slave 1 Current,network_table:///SmartDashboard/Right Slave 2 Current,network_table:///SmartDashboard/Right Voltage,network_table:///SmartDashboard/high Gear,network_table:///SmartDashboard/jetson/Angle To Target,network_table:///SmartDashboard/jetson/Distance,network_table:///SmartDashboard/jetson/Left hasLeft,network_table:///SmartDashboard/jetson/Left hasRight,network_table:///SmartDashboard/jetson/Left targetX,network_table:///SmartDashboard/jetson/Left targetY,network_table:///SmartDashboard/jetson/Left targetsFound,network_table:///SmartDashboard/jetson/Offset,network_table:///SmartDashboard/jetson/Right hasLeft,network_table:///SmartDashboard/jetson/Right hasRight,network_table:///SmartDashboard/jetson/Right targetX,network_table:///SmartDashboard/jetson/Right targetY,network_table:///SmartDashboard/jetson/Right targetsFound,network_table:///SmartDashboard/jetson/increment
2909,,,,,,,,,,,,,,,-1345.5,,-5468.963631391851,1398.0,,4801.920768307323,-1.0,,,5383.580080753702,1.75,1.9144959427727593,7.230380952380952,248.0,24.256761548868813,2.422109793268085,7.335766423357665,1340.0,29.47215372675384,2.15625,0.15625,2.923560432370983,,,1.96875,1.9144959427727593,7.259535714285714,-249.0,-24.256761548868813,-831.9999877929688,2.422109793268085,7.549270072992701,1379.0,28.262532549016655,5162.622612287042,2.46875,2.625,-2.905983916745506,,,,,,,,,,,,,,,796.0
3010,,,,,,,,,,,,,,,-1892.75,,-6637.902422834384,1927.0,,5412.719891745603,-10.0,,,5820.721769499418,6.875,2.3129446520487464,9.562761904761905,328.0,27.755335824584957,2.0624067792135796,10.324817518248176,1886.0,31.865265161493166,7.34375,7.84375,2.9040309705648975,,,8.5,2.3129446520487464,8.979666666666667,-308.0,-27.522094882202147,-943.9999877929688,2.0624067792135796,10.439781021897812,1907.0,26.7961456424108,4894.762604013706,8.46875,9.28125,-2.886454454939421,,,,,,,,,,,,,,,798.0
3110,,,,,,,,,,,,,,,-2437.0,,-5675.368898978433,2455.25,,4872.1071863581,-2.0,,,5982.650314089142,7.21875,2.419845297410753,13.03217857142857,447.0,29.038143568929033,2.3791623445217414,13.297445255474454,2429.0,32.75173529610844,6.6875,5.65625,2.905983916745506,,,7.34375,2.419845297410753,12.39077380952381,-425.0,-28.57167164916992,-980.0001708984375,2.3791623445217414,13.324817518248176,2434.0,26.750317882944177,4886.391399951136,7.96875,9.09375,-2.907936862926115,,,,,,,,,,,,,,,800.0
3209,,,,,,,,,,,,,,,-2985.75,,-5523.336095001381,2999.5,,5588.153115395362,-6.0,,,5836.008170411439,5.8125,2.4004085522121854,15.306249999999999,525.0,28.688282155354816,2.899296978468661,16.30839416058394,2979.0,31.94894983801883,6.15625,3.75,2.894266239661855,,,7.96875,2.4004085522121854,15.743571428571427,-540.0,-28.105187273152666,-963.9998901367187,2.899296978468661,16.286496350364963,2975.0,32.71259369432044,5975.500448162534,8.53125,8.40625,-2.907936862926115,,,,,,,,,,,,,,,802.0
3310,,,,,,,,,,,,,,,-3537.25,,-5600.672080649678,3530.75,,6216.972334473113,-12.0,,,5812.263876780006,5.03125,2.4101267172071665,18.83397619047619,646.0,29.038138586425777,2.4337390214032744,19.308394160583944,3527.0,31.818962829087628,3.1875,1.5625,2.909889809106723,,,8.4375,2.4101267172071665,17.46370238095238,-599.0,-28.221802761840816,-967.9997680664062,2.4337390214032744,19.20985401459854,3509.0,30.27068042435458,5529.44429084877,8.75,6.90625,-2.8962191858424635,,,,,,,,,,,,,,,804.0
3411,,,,,,,,,,,,,,,-4081.0,,-6190.034045187249,4074.25,,5234.2318764721285,-3.0,,,5733.944954128441,5.25,2.419844882202148,21.16635714285714,726.0,,2.0628730705948173,22.302919708029197,4074.0,31.390209602892927,7.03125,2.46875,2.91379570146794,,,4.34375,2.419844882202148,20.87480952380952,-716.0,-28.338420741780595,-971.9997314453125,2.0628730705948173,22.16058394160584,4048.0,28.49793105020576,5205.622071837585,8.84375,7.0,-2.884501508758812,,,,,,,,,,,,,,,806.0
3510,,,,,,,,,,,,,,,-4639.0,,-5430.355688297584,4604.75,,5644.933672029354,-1.0,,,5572.5828921705215,7.0625,2.439281627400716,24.63577380952381,845.0,29.27137952880859,1.827375844430378,25.36313868613139,4633.0,30.50684065056855,7.40625,2.40625,2.902078024384289,,,6.25,2.439281627400716,24.285916666666665,-833.0,-28.455046195475255,-975.999951171875,1.827375844430378,25.11131386861314,4587.0,27.98799874613766,5112.474437627812,8.84375,6.71875,-2.911842755287332,,,,,,,,,,,,,,,809.0
3610,,,,,,,,,,,,,,,-5183.5,,-6091.989034419737,5147.0,,5605.3811659192825,6.0,,,5177.323323841574,6.84375,2.419844882202148,26.96815476190476,925.0,29.038138586425777,2.8656053992590693,28.335766423357665,5176.0,28.343010896942925,8.125,6.375,2.909889809106723,,,7.40625,2.419844882202148,26.006047619047617,-892.0,-28.45504370422363,-975.9998657226563,2.8656053992590693,28.056569343065696,5125.0,29.35363300131113,5361.930294906167,6.5625,6.09375,-2.9040309705648975,,,,,,,,,,,,,,,811.0
3711,,,,,,,,,,,,,,,-5731.25,,-5887.547836326171,5680.0,,5488.474204171241,5.0,,,5943.536404160475,5.875,,30.437571428571427,1044.0,28.921518115234374,2.3748275875171467,31.33029197080292,5723.0,32.53760805197341,7.03125,2.9375,2.911842755287332,,,5.34375,,29.387999999999998,-1008.0,-28.33842572428385,-971.99990234375,2.3748275875171467,30.974452554744527,5658.0,47.35685600990075,8650.51903114187,8.1875,5.75,-2.890360347300638,,,,,,,,,,,,,,,813.0
3811,,,,,,,,,,,,,,,-6277.25,,-5500.5500550055,6205.5,,4805.382027871216,7.0,,,5778.676683039584,6.1875,2.4101265096028643,32.74079761904762,1123.0,,2.6362576108757225,34.324817518248175,6270.0,31.635091330508672,7.28125,2.5625,2.907936862926115,,,8.21875,2.4101265096028643,32.79910714285714,-1125.0,-28.338423233032223,-971.9998168945312,2.6362576108757225,33.870437956204384,6187.0,29.345765503857017,5360.493165371215,8.5625,8.59375,-2.888407401120029,,,,,,,,,,,,,,,815.0
